city,country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
punta arenas,CL,-53.15,-70.9167,46.2,81,90,19.57
busselton,AU,-33.65,115.3333,78.51,48,0,4.0
ilulissat,GL,69.2167,-51.1,-0.4,55,0,4.61
atuona,PF,-9.8,-139.0333,78.46,80,11,17.34
sao jose da coroa grande,BR,-8.8978,-35.1478,77.88,83,100,11.1
butaritari,KI,3.0707,172.7902,80.53,80,100,15.86
thompson,CA,55.7435,-97.8558,10.4,85,90,5.75
beyneu,KZ,45.3167,55.2,31.87,97,52,5.12
bassar,TG,9.25,0.7833,70.86,26,0,1.97
saskylakh,RU,71.9167,114.0833,-38.6,76,0,2.42
albany,US,42.6001,-73.9662,9.3,50,6,8.01
lebu,CL,-37.6167,-73.65,57.04,90,96,6.06
rogovskaya,RU,45.7312,38.7396,37.98,79,95,12.86
hithadhoo,MV,-0.6,73.0833,81.64,76,42,12.86
yellowknife,CA,62.456,-114.3525,-18.13,76,1,9.22
san onofre,CO,9.7359,-75.5263,75.24,78,65,10.69
shetpe,KZ,44.1667,52.1167,29.66,95,0,5.06
arraial do cabo,BR,-22.9661,-42.0278,77.09,83,96,25.77
kirando,TZ,-7.4167,30.6,71.47,72,99,4.45
barrow,US,71.2906,-156.7887,-9.4,70,90,10.36
hobart,AU,-42.8794,147.3294,67.96,60,75,11.5
rikitea,PF,-23.1203,-134.9692,80.47,70,31,9.06
puerto ayora,EC,-0.7393,-90.3518,79.0,91,43,7.0
norman wells,CA,65.282,-126.8329,-34.6,67,40,4.52
bredasdorp,ZA,-34.5322,20.0403,61.0,92,93,4.03
ivdel,RU,60.6911,60.4206,-12.26,89,100,6.29
vaini,TO,-21.2,-175.2,80.6,89,90,19.24
bukama,CD,-9.2,25.85,67.15,92,63,1.88
avarua,CK,-21.2078,-159.775,84.2,74,20,5.75
tasiilaq,GL,65.6145,-37.6368,15.8,53,90,25.32
airai,TL,-8.9266,125.4092,63.9,100,100,4.07
severo-kurilsk,RU,50.6789,156.125,24.76,90,100,16.06
menongue,AO,-14.6585,17.691,61.27,95,74,3.74
avera,US,33.194,-82.5271,33.82,75,1,3.44
cape town,ZA,-33.9258,18.4232,65.97,88,40,4.61
hermanus,ZA,-34.4187,19.2345,61.0,92,71,4.16
susaki,JP,33.3667,133.2833,44.6,42,20,5.75
pudozh,RU,61.8099,36.5345,18.73,97,100,6.06
lompoc,US,34.6391,-120.4579,43.86,93,1,2.04
divnomorskoye,RU,44.5011,38.1353,44.08,74,76,17.22
dublin,US,37.7021,-121.9358,46.63,71,20,3.44
verkhnyaya inta,RU,65.9811,60.3094,-4.05,84,100,18.79
tomatlan,MX,19.9333,-105.25,76.59,42,2,5.46
qaanaaq,GL,77.484,-69.3632,-13.36,62,0,5.57
ushuaia,AR,-54.8,-68.3,42.8,75,75,17.27
longyearbyen,SJ,78.2186,15.6401,-0.4,50,20,19.57
bluff,NZ,-46.6,168.3333,54.25,74,0,15.1
katsuura,JP,35.1333,140.3,45.99,31,20,14.97
nikolskoye,RU,59.7035,30.7861,28.58,93,90,8.95
kodiak,US,57.79,-152.4072,35.6,64,75,21.85
tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,1,2.3
caravelas,BR,-17.7125,-39.2481,74.88,87,0,4.43
xuddur,SO,4.1213,43.8894,62.29,87,0,16.73
hambantota,LK,6.1241,81.1185,75.2,100,20,4.61
yulara,AU,-25.2406,130.9889,89.6,35,100,20.71
grand-santi,GF,4.25,-54.3833,72.03,97,86,2.68
jamestown,US,42.097,-79.2353,18.52,79,90,13.8
saint-augustin,CA,51.226,-58.6502,13.35,91,29,11.77
bathsheba,BB,13.2167,-59.5167,77.0,78,40,9.22
saint-philippe,RE,-21.3585,55.7679,74.88,57,0,6.91
broken hill,AU,-31.95,141.4333,78.8,38,1,18.41
hilo,US,19.7297,-155.09,69.4,78,90,3.44
bambous virieux,MU,-20.3428,57.7575,79.36,89,75,4.61
port alfred,ZA,-33.5906,26.891,64.99,85,6,1.01
castro,BR,-24.7911,-50.0119,62.65,96,100,3.78
ambon,ID,-3.6954,128.1814,89.6,58,20,11.5
jumla,NP,29.2747,82.1838,36.63,47,0,2.01
tinos,GR,37.5375,25.1634,60.03,82,100,21.85
canoinhas,BR,-26.1772,-50.39,64.29,99,100,2.06
chuy,UY,-33.6971,-53.4616,67.91,93,0,1.5
nevers,FR,46.9167,3.3333,46.4,93,100,5.75
kaitangata,NZ,-46.2817,169.8464,57.99,72,36,11.01
shimoda,JP,34.6667,138.95,44.29,49,40,4.61
baturaja,ID,-4.1333,104.1667,80.69,78,95,7.16
anadyr,RU,64.75,177.4833,-20.09,76,0,8.95
ostrovnoy,RU,68.0531,39.5131,8.69,94,100,17.27
mount isa,AU,-20.7333,139.5,100.4,23,40,12.66
muzhi,RU,65.3667,64.6667,-33.66,81,100,3.62
moreira sales,BR,-24.0622,-53.0069,68.45,97,100,8.12
malmesbury,ZA,-33.4608,18.7271,60.93,88,40,4.61
huangmei,CN,30.1924,116.025,53.82,43,98,3.29
luderitz,NA,-26.6481,15.1594,65.19,52,0,22.66
dikson,RU,73.5069,80.5464,-33.39,84,97,7.94
takoradi,GH,4.8845,-1.7554,77.85,85,29,6.53
kuytun,RU,54.3419,101.5036,6.17,95,100,2.91
sao joao da barra,BR,-21.6403,-41.0511,77.68,80,16,21.81
chaman,PK,30.9236,66.4512,42.69,46,57,2.66
guerrero negro,MX,27.9769,-114.0611,60.28,75,4,15.5
pozoblanco,ES,38.3791,-4.8483,55.4,94,90,6.91
brownsville,US,25.9018,-97.4975,65.68,72,1,8.05
san patricio,US,28.017,-97.5169,67.26,72,90,11.5
paris,FR,48.8534,2.3488,46.99,93,90,8.05
new norfolk,AU,-42.7826,147.0587,67.86,60,75,11.5
lanzhou,CN,36.0564,103.7922,27.0,90,100,1.34
ahipara,NZ,-35.1667,173.1667,67.82,66,71,3.94
provideniya,RU,64.3833,-173.3,-7.35,81,6,3.69
erenhot,CN,43.6475,111.9767,19.2,90,0,19.86
bambanglipuro,ID,-7.95,110.2833,82.67,72,100,4.23
upernavik,GL,72.7868,-56.1549,-8.73,84,0,10.0
santa maria,BR,-29.6842,-53.8069,75.2,83,0,9.22
agadez,NE,19.75,10.25,54.12,35,0,9.24
pechora,RU,65.1472,57.2244,-3.93,89,100,7.16
anyksciai,LT,55.5256,25.1026,23.2,98,98,9.86
nome,US,64.5011,-165.4064,-0.4,55,1,18.41
progreso,MX,21.2833,-89.6667,69.01,78,0,12.95
cherskiy,RU,68.75,161.3,-33.59,83,6,2.84
camargo,MX,27.6667,-105.1667,68.32,36,92,11.5
vung tau,VN,10.346,107.0843,76.69,64,100,1.19
moose factory,CA,51.2585,-80.6094,-0.4,78,90,8.05
bien hoa,VN,10.95,106.8167,78.8,61,20,2.3
seydisehir,TR,37.4193,31.8453,29.48,82,100,4.03
half moon bay,US,37.4636,-122.4286,45.91,87,75,0.78
nemuro,JP,43.3236,145.575,30.2,86,75,6.91
codrington,AU,-38.2667,141.9667,62.98,71,100,12.41
pacific grove,US,36.6177,-121.9166,47.89,76,1,3.44
mataura,NZ,-46.1927,168.8643,69.98,37,0,1.23
jiazi,CN,22.8779,116.067,61.21,53,0,17.0
mirabad,AF,30.4362,61.8383,50.13,36,87,6.24
sao filipe,CV,14.8961,-24.4956,74.64,55,97,9.78
umm kaddadah,SD,13.6017,26.6876,59.72,31,0,18.57
san quintin,MX,30.4833,-115.95,56.43,75,1,9.91
kidal,ML,18.4411,1.4078,61.57,28,0,13.27
victoria,HK,22.2855,114.1577,61.27,63,0,4.0
georgetown,MY,5.4112,100.3354,81.61,65,20,8.05
alexandria,EG,31.2156,29.9553,51.8,82,40,11.5
san antero,CO,9.3741,-75.7589,78.93,74,76,17.6
sisimiut,GL,66.9395,-53.6735,7.93,85,0,9.98
faya,SA,18.3851,42.4509,51.78,29,0,0.51
berdigestyakh,RU,62.0989,126.6992,-41.44,78,100,1.1
mangan,IN,27.5167,88.5333,58.55,30,0,1.79
saint george,US,37.1041,-113.5841,38.62,87,90,20.71
gamba,GA,-2.65,10.0,77.58,87,100,6.8
coquimbo,CL,-29.9533,-71.3436,62.6,88,75,1.14
aras,ES,42.5617,-2.356,46.4,93,75,1.14
galesong,ID,-5.3166,119.3661,78.8,94,40,9.22
george town,MY,5.4112,100.3354,81.61,65,20,8.05
mokhsogollokh,RU,61.4681,128.9203,-38.83,79,100,1.59
port elizabeth,ZA,-33.918,25.5701,59.0,82,0,3.44
geraldton,AU,-28.7667,114.6,98.6,18,0,18.41
nayudupeta,IN,13.9,79.9,69.8,83,40,2.57
lorengau,PG,-2.0226,147.2712,84.83,75,100,9.98
kamenka,RU,51.3223,42.7678,34.0,94,100,24.74
cidreira,BR,-30.1811,-50.2056,75.34,89,5,5.17
chupa,RU,66.27,33.0549,11.61,95,100,8.79
uruzgan,AF,32.8333,66.0,36.54,60,28,6.71
novyy urengoy,RU,66.0833,76.6333,-40.29,80,4,4.63
jiexiu,CN,37.0244,111.9125,38.25,56,37,8.46
namibe,AO,-15.1961,12.1522,73.24,76,99,8.57
kavieng,PG,-2.5744,150.7967,84.38,76,88,14.65
khatanga,RU,71.9667,102.5,-43.28,75,0,3.24
tabou,CI,4.423,-7.3528,77.14,89,0,5.06
lagoa,PT,39.05,-27.9833,59.7,82,97,19.08
pasni,PK,25.2631,63.471,65.26,46,0,4.99
kapaa,US,22.0752,-159.319,74.52,73,75,16.11
victor harbor,AU,-35.5667,138.6167,68.0,69,95,3.0
ancud,CL,-41.8697,-73.8203,49.42,71,0,11.5
bima,ID,-8.4667,118.7167,80.15,84,100,4.85
khasan,RU,42.4308,130.6434,12.13,89,83,4.45
rio negrinho,BR,-26.2544,-49.5183,70.0,93,100,28.01
muros,ES,42.7762,-9.0603,57.49,85,6,21.0
rio grande,BR,-32.035,-52.0986,75.99,92,100,4.09
dwarka,IN,22.2394,68.9678,66.42,40,2,12.44
arrecife,ES,28.963,-13.5477,64.4,82,0,11.5
morgan city,US,29.6994,-91.2068,50.65,87,1,3.78
pemangkat,ID,1.1667,108.9667,76.55,90,100,8.39
fernie,CA,49.5,-115.0687,25.25,93,98,1.14
oktyabrskoye,RU,43.0645,44.7417,33.4,93,90,2.24
tessalit,ML,20.1986,1.0114,60.1,29,0,11.7
college,US,64.8569,-147.8028,-2.6,77,40,3.18
port-gentil,GA,-0.7193,8.7815,80.24,82,100,12.01
carnarvon,AU,-24.8667,113.6333,102.2,27,0,21.85
kruisfontein,ZA,-34.0033,24.7314,55.99,90,0,3.49
hasaki,JP,35.7333,140.8333,43.65,24,20,18.41
pisco,PE,-13.7,-76.2167,70.92,73,0,9.22
pedro ii,BR,-4.4247,-41.4586,71.46,87,100,1.88
orlik,RU,52.5178,99.825,5.74,88,83,4.09
vanimo,PG,-2.6741,141.3028,84.36,74,100,11.36
el bagre,CO,7.5927,-74.8086,75.31,85,88,0.4
chokurdakh,RU,70.6333,147.9167,-26.84,85,100,8.88
gunjur,GM,13.2019,-16.7339,68.0,68,0,2.3
port blair,IN,11.6667,92.75,82.8,69,22,9.53
tripoli,LY,32.8752,13.1875,61.59,53,0,18.99
vestmannaeyjar,IS,63.4427,-20.2734,35.24,82,100,7.63
port hardy,CA,50.6996,-127.4199,41.7,87,90,20.71
pfarrkirchen,DE,48.432,12.9381,42.66,93,97,4.0
radhanpur,IN,23.8333,71.6,57.96,34,0,6.08
lata,PT,40.1629,-8.3327,56.68,94,100,4.0
baruun-urt,MN,46.6806,113.2792,1.26,93,88,9.55
anloga,GH,5.7947,0.8973,80.6,83,20,3.44
anchorage,US,61.2181,-149.9003,20.1,73,75,3.44
christchurch,NZ,-43.5333,172.6333,64.74,45,40,4.61
tirodi,IN,21.6833,79.7,62.96,28,2,9.89
poum,NC,-20.2333,164.0167,81.05,72,15,9.51
kaeo,NZ,-35.1,173.7833,70.0,65,50,7.0
jijiga,ET,9.35,42.8,55.33,55,38,2.26
pangoa,PE,-12.1167,-73.0,68.94,93,89,1.74
kuusamo,FI,65.9667,29.1833,12.2,79,75,8.05
leh,IN,34.1667,77.5833,-0.13,64,0,1.32
puerto del rosario,ES,28.5004,-13.8627,62.6,88,0,14.97
borborema,BR,-21.6197,-49.0736,72.46,85,99,4.32
andenes,NO,69.3143,16.1194,22.21,74,40,10.36
havoysund,NO,70.9963,24.6622,19.4,73,20,3.44
fairbanks,US,64.8378,-147.7164,-3.08,77,1,2.86
zhenlai,CN,45.8495,123.2973,-2.43,79,15,7.58
east london,ZA,-33.0153,27.9116,68.86,74,12,3.33
kupang,ID,-10.1667,123.5833,78.8,100,75,3.44
teknaf,BD,20.8624,92.3058,72.03,37,5,4.05
klaksvik,FO,62.2266,-6.589,32.0,74,90,2.3
kayerkan,RU,69.3497,87.7602,-32.57,70,8,1.41
itoman,JP,26.1247,127.6694,62.58,45,40,16.11
nanortalik,GL,60.1432,-45.2371,31.75,92,96,8.03
bac lieu,VN,9.285,105.7244,81.19,60,98,12.84
mount gambier,AU,-37.8333,140.7667,66.2,68,90,10.36
bethel,US,41.3712,-73.414,13.03,52,1,8.05
chimbote,PE,-9.0853,-78.5783,70.47,78,97,6.78
saint anthony,US,45.0205,-93.218,23.81,58,75,8.05
mumford,GH,5.2618,-0.759,78.42,85,61,9.93
shingu,JP,33.7333,135.9833,42.8,52,40,17.27
maumelle,US,34.8668,-92.4043,45.07,71,68,1.01
makakilo city,US,21.3469,-158.0858,77.92,54,40,10.36
buraydah,SA,26.326,43.975,51.8,62,0,4.61
magadan,RU,59.5667,150.8,-11.29,79,45,9.37
gua musang,MY,4.8823,101.9644,81.41,66,36,2.51
kudahuvadhoo,MV,2.6708,72.8944,80.73,80,0,14.94
camacha,PT,33.0833,-16.3333,60.8,94,75,6.91
arlit,NE,18.7369,7.3853,55.11,33,0,2.15
henties bay,NA,-22.116,14.2845,66.99,81,30,5.61
souillac,MU,-20.5167,57.5167,78.8,89,75,4.61
londrina,BR,-23.3103,-51.1628,71.6,100,75,9.22
talara,PE,-4.5772,-81.2719,75.27,79,44,14.29
salalah,OM,17.0151,54.0924,69.8,64,40,4.61
shelburne,CA,44.0787,-80.2041,15.78,85,90,4.61
seminole,US,28.7086,-81.2081,50.54,71,1,3.44
monkey bay,MW,-14.0728,34.9201,77.5,74,100,5.17
talaya,RU,61.3833,152.75,-27.33,80,100,4.47
vinh,VN,18.6667,105.6667,65.19,82,99,4.63
wembley,AU,-31.9333,115.8,83.39,32,0,17.27
tiksi,RU,71.6872,128.8694,-30.55,85,100,5.21
rangpur,BD,25.75,89.25,61.45,39,0,8.1
kedrovyy,RU,56.1667,91.8167,-5.8,71,40,17.9
ballina,AU,-28.8667,153.5667,82.89,65,75,10.36
macae,BR,-22.3708,-41.7869,78.8,83,0,9.22
opuwo,NA,-18.0607,13.84,69.15,60,99,4.43
mar del plata,AR,-38.0023,-57.5575,65.53,88,96,15.05
pirovskoye,RU,57.6267,92.2658,-25.49,86,97,4.56
midland,US,31.9974,-102.0779,54.82,62,40,10.36
the valley,AI,18.217,-63.0578,76.75,83,20,3.44
saint-pierre,RE,-21.3393,55.4781,74.91,57,0,6.91
vardo,NO,70.3705,31.1107,25.95,97,100,17.16
xichang,CN,27.8964,102.2634,49.84,52,44,2.15
lavrentiya,RU,65.5833,-171.0,-18.29,81,0,9.73
pasighat,IN,28.0667,95.3333,64.9,47,39,0.07
whitecourt,CA,54.1502,-115.6855,3.2,85,1,3.44
nombre de dios,MX,23.85,-104.2333,64.0,46,19,20.0
santa rosa,PH,14.3122,121.1114,82.08,57,40,11.5
aureliana,PH,10.8885,121.978,81.34,70,92,11.03
isangel,VU,-19.55,169.2667,87.8,62,40,11.5
esperance,AU,-33.8667,121.9,71.6,46,0,10.36
karratha,AU,-20.7377,116.8463,91.98,45,5,7.47
sabang,ID,5.8933,95.3214,81.37,78,100,22.44
cabo san lucas,MX,22.8909,-109.9124,68.9,73,1,4.61
barcelos,PT,41.5388,-8.6151,54.7,94,90,8.05
coihaique,CL,-45.5752,-72.0662,46.4,76,0,2.3
maragogi,BR,-9.0122,-35.2225,77.34,83,100,10.13
blackwater,AU,-23.5833,148.8833,91.18,32,0,10.54
itaituba,BR,-4.2761,-55.9836,74.16,96,100,0.47
seoul,KR,37.5683,126.9778,27.34,64,20,5.75
sayansk,RU,54.1088,102.1648,4.53,95,100,1.74
ladnun,IN,27.65,74.3833,56.34,32,0,4.25
shache,CN,38.4167,77.2406,23.16,82,0,2.71
soyo,AO,-6.1349,12.3689,78.15,86,100,5.28
ust-omchug,RU,61.15,149.6333,-24.5,80,81,7.02
malinovoye ozero,RU,51.6753,79.7825,11.55,93,71,5.01
jacareacanga,BR,-6.2222,-57.7528,74.5,87,100,1.77
mabaruma,GY,8.2,-59.7833,73.22,91,14,3.94
revda,RU,56.801,59.9303,5.0,85,100,8.95
sibu,MY,2.3,111.8167,77.0,94,40,3.44
hobyo,SO,5.3505,48.5268,74.88,79,36,15.43
panlaitan,PH,12.1191,119.8486,81.45,66,92,7.83
rawson,AR,-43.3002,-65.1023,57.38,53,0,12.59
kodinsk,RU,58.6881,99.1844,-32.91,79,99,7.85
halifax,CA,44.6453,-63.5724,26.19,86,100,10.36
zhezkazgan,KZ,47.8043,67.7144,13.73,93,100,12.37
pontes e lacerda,BR,-15.2261,-59.3353,73.29,86,100,3.09
san andres,CO,12.5847,-81.7006,80.6,74,20,8.05
juba,SS,4.8517,31.5825,74.82,41,3,2.42
atasu,KZ,48.6814,71.6433,17.65,90,13,11.83
cabedelo,BR,-6.9811,-34.8339,78.8,89,75,8.05
harper,LR,4.375,-7.7169,77.83,87,0,5.55
leningradskiy,RU,69.3833,178.4167,-22.5,85,100,8.3
